class,subject,Topic,ebook,videos
IX,Science,Matters in Our Surroundings,,Sublimation - Class 9 Science.mp4
IX,Science,Tissues,,Structure of Cell Nucleus.mp4
X,Maths,Real Numbers,Chap-1Real Numbers .pdf,
X,Maths,Polynomials,Chap-2 Polynomials.pdf,
X,Maths,Pair of Linear Equations in Two Vriables,Chap-3 Linear Equations in 2 variables.pdf,
X,Maths,Quadratic Equations,Chap4 Quadratic Equations .pdf,
X,Maths,Arithmetic Progressions,Chap-5 Arithmetic Progressions.pdf,
X,Maths,Triangles,Chap-6 Triangles .pdf,
X,Maths,Coordinate Geometry,Chap7 Coordinate Geometry .pdf,
X,Maths,Introduction to Trignometry,Chap8 Trigonometry.pdf,
X,Maths,Some Applications of Trignometry,Chap9 Heights & Distances .pdf,
X,Maths,Circles,Chap10 Circles.pdf,
X,Maths,Constructions,Chap11 Constructions.pdf,
X,Maths,Surface Areas and Volumes,Chap-13 Surface Areas & Volumes.pdf,
X,Maths,Areas related to circles,Chap-12 Areas related to Circles.pdf,
X,Maths,Statistics,Chap-14 Statistics .pdf,
X,Maths,Probability,Chap15 Probability.pdf,
General Knowledge,India Our Country,Basic GK,Our Country India - Basics Quiz.pdf,
IX,Science,Force and Laws Of Motion,,motion1.swf
IX,Science,Force and Laws Of Motion,,motion2.swf
X,Science,Acid Base Salt,Class X  2 Acids Bases and Salts .pdf,
X,Science,Chemical Reactions and Equations,Class X 1 Chemical Reactions and Equations.pdf,
X,Science,Metals and Non Metals,Class X 3 Metal and Non Metals.pdf,
X,Science,Periodic Classification of Elements,Class X 5 Periodic Classification of Elements.pdf,
X,Science,Periodic Classification of Elements,Class X 5 Periodic Classification of Elements.pdf,
X,Science,Control and Coordination,Class X 7 Control and Coordinations.pdf,
X,Science,The Human Eye and Colourful World,Class X 11 The Human Eye and Colourful World.pdf,
X,Maths,Real Numbers,,Class X 1Real Numbers.swf
X,Maths,Polynomials,,Class X 2Polynomials.swf
IX,Maths,Class IX Polynomials,,Class IX  2 Polynomials.swf
IX,Science,Sound,,IX Sound .swf
IX,Science,Work and Energy,,IX Work and Energy .swf
IX,Maths,Number Systems,1 Real Numbers .pdf,
IX,Maths,Linear Equations in Two Variables,4 Linear Equations in 2 variables.pdf,
IX,Maths,Class IX Coordinate Geometry,3 Coordinate Geometry.pdf,
IX,Maths,Class IX Polynomials,2 Polynomials .pdf,
IX,Maths,Lines and Angles,6 Lines and Angles .pdf,
IX,Maths,Class IX Triangles,7 Triangles .pdf,
IX,Maths,Quadrilaterals,8 Quadrilaterals .pdf,
IX,Maths,Areas of Parallelograms and Triangles,9 Areas of Parallelograms and Triangles .pdf,
IX,Maths,Circles,10 Circles .pdf,
IX,Maths,Class IX Constructions,11 Constructions .pdf,
IX,Maths,Class IX Surface Areas and Volumes,13 Surface Areas and Volumes .pdf,
IX,Maths,Class IX Statistics,14 Class IX Statistics .pdf,
IX,Maths,Class IX Probability,15 Class IX Probability .pdf,
IX,Maths,Introduction to Elucid&#039;s Geometry,5 Introduction to Euclids Geometry.pdf,
IX,Maths,Herons Formula,12 Herons Formula.pdf,
